"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt"
"86","GL6dasaA9e0","All these mice experiments... <U+0001F926><U+200D><U+2642><U+FE0F>
Mice are NOT HUMANS, no matter how similar the DNA!","All these mice experiments... <U+0001F926><U+200D><U+2642><U+FE0F>
Mice are NOT HUMANS, no matter how similar the DNA!","xMCxVSxARBITERx","https://yt3.ggpht.com/a/AATXAJwwctBtC3H0HaZdeXz_KPVlmHb_tG-YSzaMbK0j=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCD4cH37WY1gGWMksXx4leRA","UCD4cH37WY1gGWMksXx4leRA","TRUE","none","0","2020-09-28T11:15:17Z","2020-09-28T11:16:08Z"
"87","GL6dasaA9e0","""Without changing anything""... *Completely changed her diet*","""Without changing anything""... *Completely changed her diet*","xMCxVSxARBITERx","https://yt3.ggpht.com/a/AATXAJwwctBtC3H0HaZdeXz_KPVlmHb_tG-YSzaMbK0j=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCD4cH37WY1gGWMksXx4leRA","UCD4cH37WY1gGWMksXx4leRA","TRUE","none","5","2020-09-28T10:45:56Z","2020-09-28T10:45:56Z"
"88","GL6dasaA9e0","Liar doctor","Liar doctor","Andre Lobo","https://yt3.ggpht.com/a/AATXAJzLA-0AgRO5txWghZqDRriX1aBpJXvipoxZ9yujxw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCAi6YXAEGZeQ1__RPVLUSSQ","UCAi6YXAEGZeQ1__RPVLUSSQ","TRUE","none","0","2020-09-28T02:26:26Z","2020-09-28T02:26:26Z"
"89","GL6dasaA9e0","This man is the bomb","This man is the bomb","nisa talia","https://yt3.ggpht.com/a/AATXAJyaYzsY43jlzGZyYTHu36mLbeOo8S3EQ4EawUo8Aw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCcNiBB6sRkbv3itTF7MCdAw","UCcNiBB6sRkbv3itTF7MCdAw","TRUE","none","0","2020-09-27T21:07:53Z","2020-09-27T21:07:53Z"
"90","GL6dasaA9e0","I listened only a seconds and when he said 5 kidney beans kill a man and our body made from bacteria I just shut it off. He is just selling his product.","I listened only a seconds and when he said 5 kidney beans kill a man and our body made from bacteria I just shut it off. He is just selling his product.","mazhar BUTT","https://yt3.ggpht.com/a/AATXAJxC2PhEq9n3SSmBfAx7P7XsifpdXGI_1-sojQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UChzwNM80ikZMaRxa15fuvpg","UChzwNM80ikZMaRxa15fuvpg","TRUE","none","0","2020-09-27T18:05:34Z","2020-09-27T18:05:34Z"
"91","GL6dasaA9e0","Strange doctor<U+0001F92D>","Strange doctor<U+0001F92D>","del1793 yretsym","https://yt3.ggpht.com/a/AATXAJyV7Nznb0_07UW5fXY16oTxB9VCGGptO4ctjW04=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCZcnqJmD6I7p0XKLM4VQ-vA","UCZcnqJmD6I7p0XKLM4VQ-vA","TRUE","none","0","2020-09-27T16:53:52Z","2020-09-27T16:53:52Z"
"92","GL6dasaA9e0","Sound like god said if you don't eat certain foods that your life will be prolong. Also follow his comments.","Sound like god said if you don't eat certain foods that your life will be prolong. Also follow his comments.","Candi Cosens","https://yt3.ggpht.com/a/AATXAJyjoMsApVPkVmJQVVe5yRxp_xY8AlzvA5uiNg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCStsh9oXaTMZvlxpynmQvfg","UCStsh9oXaTMZvlxpynmQvfg","TRUE","none","0","2020-09-27T14:02:25Z","2020-09-27T14:02:25Z"
"93","GL6dasaA9e0","This is the guy that told us masks would kill us during Covid.","This is the guy that told us masks would kill us during Covid.","Joefest99","https://yt3.ggpht.com/a/AATXAJypTGHaGtU-gG5tZCoxdCOJQOq776gJSfANFQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCizHeVyolwXv02g3u4svtWQ","UCizHeVyolwXv02g3u4svtWQ","TRUE","none","2","2020-09-27T02:24:11Z","2020-09-27T02:24:11Z"
"94","GL6dasaA9e0","During this interview you both must have exchanged lot of bacteria. You both sitting smooch away.","During this interview you both must have exchanged lot of bacteria. You both sitting smooch away.","schaumburg g","https://yt3.ggpht.com/a/AATXAJynrQU0e_G3Djw_6p7g3wQo4pLR08D9WJdi6w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCTjrCsKsd-XXU3bbooytgdA","UCTjrCsKsd-XXU3bbooytgdA","TRUE","none","0","2020-09-26T23:06:06Z","2020-09-26T23:06:06Z"
"95","GL6dasaA9e0","The “body as mechanism” or “body as computer” way of talking by health authorities and doctors needs to be done away with. Do they teach this at Yale? A new, more honest, way of communication is needed. I know, how about “body as organism”? After all, the body is an organism.","The “body as mechanism” or “body as computer” way of talking by health authorities and doctors needs to be done away with. Do they teach this at Yale? A new, more honest, way of communication is needed. I know, how about “body as organism”? After all, the body is an organism.","RakeRocter","https://yt3.ggpht.com/a/AATXAJyY9jYiS6ZIgGrjgoHgL8LoSTfe69EZCOrjU-qk=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCoyX4IK6U9w35hFd5E1qgiw","UCoyX4IK6U9w35hFd5E1qgiw","TRUE","none","0","2020-09-26T16:34:49Z","2020-09-26T20:04:49Z"
"96","GL6dasaA9e0","This guy is an idiot","This guy is an idiot","Adam Dille","https://yt3.ggpht.com/a/AATXAJxzmsBVoQpv1nW57DcABpJ7WsI5wzLKogcwTA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCaS6ccuAQAuTCfywMeTMv9w","UCaS6ccuAQAuTCfywMeTMv9w","TRUE","none","0","2020-09-26T01:42:29Z","2020-09-26T01:42:29Z"
"97","GL6dasaA9e0","So 5 raw kidney bneas will do it, eh?","So 5 raw kidney bneas will do it, eh?","MilaEm","https://yt3.ggpht.com/a/AATXAJyVU8I8hNVZEieqxf7EWkca8t0hGCr8UQDCnHc-=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCatTpRk-xvzzkXLB2VbmegA","UCatTpRk-xvzzkXLB2VbmegA","TRUE","none","0","2020-09-25T19:34:15Z","2020-09-25T19:34:15Z"
"98","GL6dasaA9e0","Bullshit","Bullshit","Pedja Manasijevic","https://yt3.ggpht.com/a/AATXAJx-fES1lJ9IB751Z7GgROyKJlMbMI4NR2iRBlzpKKE=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCc84mt5-siOERextkO841Zw","UCc84mt5-siOERextkO841Zw","TRUE","none","0","2020-09-25T09:21:54Z","2020-09-25T09:21:54Z"
"99","GL6dasaA9e0","What does God say? Give thanks for it and it's not gonna hurt ya! Simple enough for me, if this bible is true? 1 Timothy 4:1-4  Now the Spirit speaks expressly, that in the latter times some shall depart from the faith.......and commanding to abstain from meats, which God hath created to be received with thanksgiving of them which believe and know the truth.
For every creature of God is good, and nothing to be refused, if it be received with thanksgiving:","What does God say? Give thanks for it and it's not gonna hurt ya! Simple enough for me, if this bible is true? 1 Timothy 4:1-4  Now the Spirit speaks expressly, that in the latter times some shall depart from the faith.......and commanding to abstain from meats, which God hath created to be received with thanksgiving of them which believe and know the truth.
For every creature of God is good, and nothing to be refused, if it be received with thanksgiving:","David Goetz","https://yt3.ggpht.com/a/AATXAJx3UFd7lsz9ONg_1m1P25fM4ch0l5Hpd-Jmgw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCt4VqjdFGxv-HepxRBjz-HA","UCt4VqjdFGxv-HepxRBjz-HA","TRUE","none","0","2020-09-25T03:20:06Z","2020-09-25T03:20:06Z"
"100","GL6dasaA9e0","All of a sudden everyone is an expert on a topic that you clearly know nothing about.   I’ve cured my own chronic diseases and regressed Fibromyalgia with food.  I was a very sick person who needed to use a wheelchair because my pain and stiffness was intolerable.  My gut issues were chronic. Everything I ate made me so sick. I saw 6 specialists and was severely depressed with anxiety disorder. 
 I changed my diet and lifestyle and within 8 months I was healthier than I’d ever been in my life.  17 of 19 daily meds eliminated and ZERO pain. I also lost 34kgs (75lbs).    I followed the advice from my rheumatologist which was to eliminate sugar, wheat, nightshades, legumes, meat and dairy from my diet.  Clearly it worked and I wanted to know how and why, so I went back to university and studied a Bachelor of Health Sciences - Nutritional Dietetics.   I can 100% assure you that this guy is right.  Everything he says is proven by science to be correct.   I’m living proof.  
I didn’t buy any of his books or products and still haven’t.  But I did listen to interviews like this one from him and at least a dozen other doctors and scientists who share the same message.  

The reason people write books and develop products is to assist people who don’t have the time, inclination, or intelligence to spend 5 years of their life doing their own research like I did. 

You probably don’t know that apricot and cherry seeds are the most lethal poisons ever.  

You’re all ignorant like I used to be.","All of a sudden everyone is an expert on a topic that you clearly know nothing about.   I’ve cured my own chronic diseases and regressed Fibromyalgia with food.  I was a very sick person who needed to use a wheelchair because my pain and stiffness was intolerable.  My gut issues were chronic. Everything I ate made me so sick. I saw 6 specialists and was severely depressed with anxiety disorder. 
 I changed my diet and lifestyle and within 8 months I was healthier than I’d ever been in my life.  17 of 19 daily meds eliminated and ZERO pain. I also lost 34kgs (75lbs).    I followed the advice from my rheumatologist which was to eliminate sugar, wheat, nightshades, legumes, meat and dairy from my diet.  Clearly it worked and I wanted to know how and why, so I went back to university and studied a Bachelor of Health Sciences - Nutritional Dietetics.   I can 100% assure you that this guy is right.  Everything he says is proven by science to be correct.   I’m living proof.  
I didn’t buy any of his books or products and still haven’t.  But I did listen to interviews like this one from him and at least a dozen other doctors and scientists who share the same message.  

The reason people write books and develop products is to assist people who don’t have the time, inclination, or intelligence to spend 5 years of their life doing their own research like I did. 

You probably don’t know that apricot and cherry seeds are the most lethal poisons ever.  

You’re all ignorant like I used to be.","Lynda Reid","https://yt3.ggpht.com/a/AATXAJz_ZNi2SVFcvkPp2KA6kazVHIayGPVWwq7jLsA6=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC_ChAQXxtUgU_0t64FsuhrA","UC_ChAQXxtUgU_0t64FsuhrA","TRUE","none","4","2020-09-25T00:29:29Z","2020-09-25T00:29:29Z"
